"region","set_type","status","all_pop","ind_edu","phd_edu","hig_edu","mast_edu","spec_edu","bac_edu","not_compl_edu","prof_edu","prof_edu_mid_spec","prof_edu_work","mid_edu","mid_edu_gen","mid_edu_prim","non_edu","not_ind_edu"
"Republic of Bashkortostan","total",NA,41137,13417,82,2065,159,1307,599,247,5223,3813,1410,2524,2297,944,35,27720
"Republic of Bashkortostan","city",NA,2106622,2069313,26927,513735,31277,341762,140696,54475,994258,706605,287653,297541,148772,31710,1895,37309
"Republic of Bashkortostan","city","indicated status",2071581,2058887,26851,512052,31142,340720,140190,54270,990090,703574,286516,295677,147071,31006,1870,12694
"Republic of Bashkortostan","city","labour force",1283909,1274954,20041,410675,25768,268269,116638,42441,652381,461764,190617,109260,37305,2628,223,8955
"Republic of Bashkortostan","city","employed",1275587,1266675,19949,408201,25577,266693,115931,42161,649135,459606,189529,107682,36777,2549,221,8912
"Republic of Bashkortostan","city","unemployed",8322,8279,92,2474,191,1576,707,280,3246,2158,1088,1578,528,79,2,43
"Republic of Bashkortostan","city","not in labour",787672,783933,6810,101377,5374,72451,23552,11829,337709,241810,95899,186417,109766,28378,1647,3739
"Republic of Bashkortostan","city","labour force",11185,11100,111,2939,278,1888,773,315,4326,2787,1539,2285,971,147,6,85
"Republic of Bashkortostan","city",NA,35041,10426,76,1683,135,1042,506,205,4168,3031,1137,1864,1701,704,25,24615
"Republic of Bashkortostan","village",NA,1275914,1270353,10845,177735,9491,127900,40344,17396,591954,389062,202892,279365,147763,42799,2496,5561
"Republic of Bashkortostan","village","indicated status",1269818,1267362,10839,177353,9467,127635,40251,17354,590899,388280,202619,278705,147167,42559,2486,2456
"Republic of Bashkortostan","village","labour force",639666,638124,6991,126175,7386,88497,30292,11748,348704,227325,121379,109543,32986,1873,104,1542
"Republic of Bashkortostan","village","employed",631796,630274,6948,125186,7318,87847,30021,11630,344583,224891,119692,107701,32286,1839,101,1522
"Republic of Bashkortostan","village","unemployed",7870,7850,43,989,68,650,271,118,4121,2434,1687,1842,700,34,3,20
"Republic of Bashkortostan","village","not in labour",630152,629238,3848,51178,2081,39138,9959,5606,242195,160955,81240,169162,114181,40686,2382,914
"Republic of Bashkortostan","village","labour force",11638,11614,73,1333,79,930,324,172,5772,3342,2430,2974,1180,101,9,24
"Republic of Bashkortostan","village",NA,6096,2991,6,382,24,265,93,42,1055,782,273,660,596,240,10,3105
"Mari El Republic","village",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mari El Republic","total",NA,556370,486146,5369,110401,7719,84131,18551,8170,217585,136854,80731,86221,48836,8524,1040,70224
"Mari El Republic","total","indicated status",482678,475330,5313,108979,7656,83104,18219,8011,213156,134067,79089,83758,46862,8236,1015,7348
"Mari El Republic","total","labour force",267914,262749,3373,78485,6269,58111,14105,5730,128160,79451,48709,34641,12180,142,38,5165
"Mari El Republic","total","employed",265076,259928,3360,77800,6208,57619,13973,5675,126919,78779,48140,34099,11898,140,37,5148
"Mari El Republic","total","unemployed",2838,2821,13,685,61,492,132,55,1241,672,569,542,282,2,1,17
"Mari El Republic","total","not in labour",214764,212581,1940,30494,1387,24993,4114,2281,84996,54616,30380,49117,34682,8094,977,2183
"Mari El Republic","total","labour force",4302,4269,30,924,69,673,182,83,1737,973,764,974,503,12,6,33
"Mari El Republic","total",NA,73692,10816,56,1422,63,1027,332,159,4429,2787,1642,2463,1974,288,25,62876
"Mari El Republic","city",NA,377900,313549,4310,86216,6116,65736,14364,6545,137578,89724,47854,49664,24571,4221,444,64351
"Mari El Republic","city","indicated status",312087,306070,4265,85021,6064,64859,14098,6405,134396,87597,46799,48046,23474,4036,427,6017
"Mari El Republic","city","labour force",180185,175864,2765,62072,5003,46088,10981,4651,81835,52669,29166,18948,5490,74,29,4321
"Mari El Republic","city","employed",178422,174114,2754,61504,4949,45683,10872,4606,81116,52264,28852,18664,5369,73,28,4308
"Mari El Republic","city","unemployed",1763,1750,11,568,54,405,109,45,719,405,314,284,121,1,1,13
"Mari El Republic","city","not in labour",131902,130206,1500,22949,1061,18771,3117,1754,52561,34928,17633,29098,17984,3962,398,1696
"Mari El Republic","city","labour force",2507,2482,27,740,57,547,136,67,907,574,333,525,201,10,5,25
"Mari El Republic","city",NA,65813,7479,45,1195,52,877,266,140,3182,2127,1055,1618,1097,185,17,58334
"Mari El Republic","village",NA,178470,172597,1059,24185,1603,18395,4187,1625,80007,47130,32877,36557,24265,4303,596,5873
"Mari El Republic","village","indicated status",170591,169260,1048,23958,1592,18245,4121,1606,78760,46470,32290,35712,23388,4200,588,1331
"Mari El Republic","village","labour force",87729,86885,608,16413,1266,12023,3124,1079,46325,26782,19543,15693,6690,68,9,844
"Mari El Republic","village","employed",86654,85814,606,16296,1259,11936,3101,1069,45803,26515,19288,15435,6529,67,9,840
"Mari El Republic","village","unemployed",1075,1071,2,117,7,87,23,10,522,267,255,258,161,1,NA,4
"Mari El Republic","village","not in labour",82862,82375,440,7545,326,6222,997,527,32435,19688,12747,20019,16698,4132,579,487
"Mari El Republic","village","labour force",1795,1787,3,184,12,126,46,16,830,399,431,449,302,2,1,8
"Mari El Republic","village",NA,7879,3337,11,227,11,150,66,19,1247,660,587,845,877,103,8,4542
"Republic of Mordovia","village",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Republic of Mordovia","total",NA,666579,621984,6643,162172,9842,117040,35290,11436,248384,160357,88027,130599,50782,10693,1275,44595
"Republic of Mordovia","total","indicated status",622456,610617,6522,160432,9777,115708,34947,11024,244805,157953,86852,126880,49290,10408,1256,11839
"Republic of Mordovia","total","labour force",353834,345745,4793,124063,8195,87922,27946,7807,149732,94787,54945,48116,11083,82,69,8089
"Republic of Mordovia","total","employed",350674,342613,4774,123149,8120,87298,27731,7748,148502,94093,54409,47435,10858,78,69,8061
"Republic of Mordovia","total","unemployed",3160,3132,19,914,75,624,215,59,1230,694,536,681,225,4,NA,28
"Republic of Mordovia","total","not in labour",268622,264872,1729,36369,1582,27786,7001,3217,95073,63166,31907,78764,38207,10326,1187,3750
"Republic of Mordovia","total","labour force",4068,4034,48,1060,97,678,285,104,1375,853,522,1163,275,6,3,34
"Republic of Mordovia","total",NA,44123,11367,121,1740,65,1332,343,412,3579,2404,1175,3719,1492,285,19,32756
"Republic of Mordovia","city",NA,420523,377853,5075,118803,7728,86001,25074,8295,145293,94762,50531,72694,23339,3734,620,42670
"Republic of Mordovia","city","indicated status",379160,368027,4984,117261,7671,84818,24772,7905,142242,92739,49503,69369,22154,3506,606,11133
"Republic of Mordovia","city","labour force",225175,217533,3777,92041,6482,65581,19978,5613,86934,55483,31451,24325,4749,44,50,7642
"Republic of Mordovia","city","employed",223167,215550,3763,91329,6422,65093,19814,5568,86236,55108,31128,23913,4650,41,50,7617
"Republic of Mordovia","city","unemployed",2008,1983,14,712,60,488,164,45,698,375,323,412,99,3,NA,25
"Republic of Mordovia","city","not in labour",153985,150494,1207,25220,1189,19237,4794,2292,55308,37256,18052,45044,17405,3462,556,3491
"Republic of Mordovia","city","labour force",2642,2611,34,829,80,540,209,75,759,494,265,747,158,6,3,31
"Republic of Mordovia","city",NA,41363,9826,91,1542,57,1183,302,390,3051,2023,1028,3325,1185,228,14,31537
"Republic of Mordovia","village",NA,246056,244131,1568,43369,2114,31039,10216,3141,103091,65595,37496,57905,27443,6959,655,1925
"Republic of Mordovia","village","indicated status",243296,242590,1538,43171,2106,30890,10175,3119,102563,65214,37349,57511,27136,6902,650,706
"Republic of Mordovia","village","labour force",128659,128212,1016,32022,1713,22341,7968,2194,62798,39304,23494,23791,6334,38,19,447
"Republic of Mordovia","village","employed",127507,127063,1011,31820,1698,22205,7917,2180,62266,38985,23281,23522,6208,37,19,444
"Republic of Mordovia","village","unemployed",1152,1149,5,202,15,136,51,14,532,319,213,269,126,1,NA,3
"Republic of Mordovia","village","not in labour",114637,114378,522,11149,393,8549,2207,925,39765,25910,13855,33720,20802,6864,631,259
"Republic of Mordovia","village","labour force",1426,1423,14,231,17,138,76,29,616,359,257,416,117,NA,NA,3
"Republic of Mordovia","village",NA,2760,1541,30,198,8,149,41,22,528,381,147,394,307,57,5,1219
"Republic of Tatarstan","village",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Republic of Tatarstan","total",NA,3293016,3069862,40561,833026,55741,568767,208518,63463,1275514,875454,400060,545733,253664,53391,4510,223154
"Republic of Tatarstan","total","indicated status",3080658,3031205,40074,825409,55310,563540,206559,62771,1262957,866141,396816,536289,247378,51875,4452,49453
"Republic of Tatarstan","total","labour force",1901830,1865708,30258,667183,46053,446756,174374,48964,837784,569800,267984,219364,61101,725,329,36122
"Republic of Tatarstan","total","employed",1893462,1857406,30172,664335,45789,444928,173618,48725,835078,568150,266928,217477,60593,699,327,36056
"Republic of Tatarstan","total","unemployed",8368,8302,86,2848,264,1828,756,239,2706,1650,1056,1887,508,26,2,66
"Republic of Tatarstan","total","not in labour",1178828,1165497,9816,158226,9257,116784,32185,13807,425173,296341,128832,316925,186277,51150,4123,13331
"Republic of Tatarstan","total","labour force",14171,14025,151,3907,379,2542,986,369,4362,2644,1718,3709,1441,74,12,146
"Republic of Tatarstan","total",NA,212358,38657,487,7617,431,5227,1959,692,12557,9313,3244,9444,6286,1516,58,173701
"Republic of Tatarstan","city",NA,2511118,2296101,32937,696466,47768,475540,173158,54141,964194,679653,284541,357820,160889,27226,2428,215017
"Republic of Tatarstan","city","indicated status",2307730,2261287,32536,689434,47365,470730,171339,53504,952839,671161,281678,349415,155228,25948,2383,46443
"Republic of Tatarstan","city","labour force",1480016,1445934,24862,563210,39504,377895,145811,42261,637436,444944,192492,136657,40728,530,250,34082
"Republic of Tatarstan","city","employed",1473359,1439338,24789,560694,39274,376271,145149,42050,635402,443714,191688,135279,40361,513,250,34021
"Republic of Tatarstan","city","unemployed",6657,6596,73,2516,230,1624,662,211,2034,1230,804,1378,367,17,NA,61
"Republic of Tatarstan","city","not in labour",827714,815353,7674,126224,7861,92835,25528,11243,315403,226217,89186,212758,114500,25418,2133,12361
"Republic of Tatarstan","city","labour force",11034,10899,131,3385,347,2197,841,321,3137,1963,1174,2771,1090,53,11,135
"Republic of Tatarstan","city",NA,203388,34814,401,7032,403,4810,1819,637,11355,8492,2863,8405,5661,1278,45,168574
"Republic of Tatarstan","village",NA,781898,773761,7624,136560,7973,93227,35360,9322,311320,195801,115519,187913,92775,26165,2082,8137
"Republic of Tatarstan","village","indicated status",772928,769918,7538,135975,7945,92810,35220,9267,310118,194980,115138,186874,92150,25927,2069,3010
"Republic of Tatarstan","village","labour force",421814,419774,5396,103973,6549,68861,28563,6703,200348,124856,75492,82707,20373,195,79,2040
"Republic of Tatarstan","village","employed",420103,418068,5383,103641,6515,68657,28469,6675,199676,124436,75240,82198,20232,186,77,2035
"Republic of Tatarstan","village","unemployed",1711,1706,13,332,34,204,94,28,672,420,252,509,141,9,2,5
"Republic of Tatarstan","village","not in labour",351114,350144,2142,32002,1396,23949,6657,2564,109770,70124,39646,104167,71777,25732,1990,970
"Republic of Tatarstan","village","labour force",3137,3126,20,522,32,345,145,48,1225,681,544,938,351,21,1,11
"Republic of Tatarstan","village",NA,8970,3843,86,585,28,417,140,55,1202,821,381,1039,625,238,13,5127
"Udmurt Republic","village",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Udmurt Republic","total",NA,1188651,999658,11896,239090,15731,175229,48130,15599,400783,260901,139882,212779,95193,22126,2192,188993
"Udmurt Republic","total","indicated status",996126,986858,11742,237167,15617,173916,47634,15360,396355,257946,138409,209315,93273,21476,2170,9268
"Udmurt Republic","total","labour force",562908,556757,8140,176885,12844,126093,37948,11367,244977,156780,88197,91739,22329,1191,129,6151
"Udmurt Republic","total","employed",556587,550463,8087,175538,12736,125180,37622,11240,242409,155264,87145,90252,21659,1151,127,6124
"Udmurt Republic","total","unemployed",6321,6294,53,1347,108,913,326,127,2568,1516,1052,1487,670,40,2,27
"Udmurt Republic","total","not in labour",433218,430101,3602,60282,2773,47823,9686,3993,151378,101166,50212,117576,70944,20285,2041,3117
"Udmurt Republic","total","labour force",8506,8456,64,1874,146,1336,392,144,3139,1965,1174,2124,994,111,6,50
"Udmurt Republic","total",NA,192525,12800,154,1923,114,1313,496,239,4428,2955,1473,3464,1920,650,22,179725
"Udmurt Republic","city",NA,787662,607989,9610,172523,12680,124501,35342,11360,236802,159119,77683,120801,45470,10668,755,179673
"Udmurt Republic","city","indicated status",606348,599288,9490,170995,12584,123494,34917,11167,233708,157093,76615,118559,44321,10304,744,7060
"Udmurt Republic","city","labour force",351905,347092,6647,128384,10356,90206,27822,8385,144353,95414,48939,49167,9480,612,64,4813
"Udmurt Republic","city","employed",348315,343522,6602,127354,10264,89520,27570,8290,142951,94533,48418,48455,9219,588,63,4793
"Udmurt Republic","city","unemployed",3590,3570,45,1030,92,686,252,95,1402,881,521,712,261,24,1,20
"Udmurt Republic","city","not in labour",254443,252196,2843,42611,2228,33288,7095,2782,89355,61679,27676,69392,34841,9692,680,2247
"Udmurt Republic","city","labour force",5143,5101,53,1392,112,983,297,106,1794,1185,609,1226,481,48,1,42
"Udmurt Republic","city",NA,181314,8701,120,1528,96,1007,425,193,3094,2026,1068,2242,1149,364,11,172613
"Udmurt Republic","village",NA,400989,391669,2286,66567,3051,50728,12788,4239,163981,101782,62199,91978,49723,11458,1437,9320
"Udmurt Republic","village","indicated status",389778,387570,2252,66172,3033,50422,12717,4193,162647,100853,61794,90756,48952,11172,1426,2208
"Udmurt Republic","village","labour force",211003,209665,1493,48501,2488,35887,10126,2982,100624,61366,39258,42572,12849,579,65,1338
"Udmurt Republic","village","employed",208272,206941,1485,48184,2472,35660,10052,2950,99458,60731,38727,41797,12440,563,64,1331
"Udmurt Republic","village","unemployed",2731,2724,8,317,16,227,74,32,1166,635,531,775,409,16,1,7
"Udmurt Republic","village","not in labour",178775,177905,759,17671,545,14535,2591,1211,62023,39487,22536,48184,36103,10593,1361,870
"Udmurt Republic","village","labour force",3363,3355,11,482,34,353,95,38,1345,780,565,898,513,63,5,8
"Udmurt Republic","village",NA,11211,4099,34,395,18,306,71,46,1334,929,405,1222,771,286,11,7112
"Chuvash Republic","village",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chuvash Republic","total",NA,964295,858616,9027,218491,13031,163883,41577,10629,349753,238137,111616,170437,80545,18074,1660,105679
"Chuvash Republic","total","indicated status",861337,844914,8916,215916,12906,161896,41114,10465,344746,234484,110262,166925,78760,17576,1610,16423
"Chuvash Republic","total","labour force",468436,457491,5875,160032,10509,117531,31992,7340,202305,136464,65841,66926,14771,138,104,10945
"Chuvash Republic","total","employed",463178,452276,5824,158336,10393,116353,31590,7233,200146,135102,65044,66044,14457,133,103,10902
"Chuvash Republic","total","unemployed",5258,5215,51,1696,116,1178,402,107,2159,1362,797,882,314,5,1,43
"Chuvash Republic","total","not in labour",392901,387423,3041,55884,2397,44365,9122,3125,142441,98020,44421,99999,63989,17438,1506,5478
"Chuvash Republic","total","labour force",8572,8518,64,2168,149,1499,520,142,3431,2160,1271,1959,718,29,7,54
"Chuvash Republic","total",NA,102958,13702,111,2575,125,1987,463,164,5007,3653,1354,3512,1785,498,50,89256
"Chuvash Republic","city",NA,606574,507722,6452,162950,10660,121233,31057,7822,208826,147421,61405,80640,33820,6583,629,98852
"Chuvash Republic","city","indicated status",511253,496359,6354,160617,10540,119426,30651,7677,204519,144158,60361,77756,32560,6267,609,14894
"Chuvash Republic","city","labour force",300177,290163,4296,121832,8571,89244,24017,5543,123533,86117,37416,29303,5495,87,74,10014
"Chuvash Republic","city","employed",296419,286442,4261,120385,8475,88226,23684,5464,122109,85196,36913,28750,5317,82,74,9977
"Chuvash Republic","city","unemployed",3758,3721,35,1447,96,1018,333,79,1424,921,503,553,178,5,NA,37
"Chuvash Republic","city","not in labour",211076,206196,2058,38785,1969,30182,6634,2134,80986,58041,22945,48453,27065,6180,535,4880
"Chuvash Republic","city","labour force",5229,5187,50,1742,122,1214,406,117,1881,1271,610,1020,349,24,4,42
"Chuvash Republic","city",NA,95321,11363,98,2333,120,1807,406,145,4307,3263,1044,2884,1260,316,20,83958
"Chuvash Republic","village",NA,357721,350894,2575,55541,2371,42650,10520,2807,140927,90716,50211,89797,46725,11491,1031,6827
"Chuvash Republic","village","indicated status",350084,348555,2562,55299,2366,42470,10463,2788,140227,90326,49901,89169,46200,11309,1001,1529
"Chuvash Republic","village","labour force",168259,167328,1579,38200,1938,28287,7975,1797,78772,50347,28425,37623,9276,51,30,931
"Chuvash Republic","village","employed",166759,165834,1563,37951,1918,28127,7906,1769,78037,49906,28131,37294,9140,51,29,925
"Chuvash Republic","village","unemployed",1500,1494,16,249,20,160,69,28,735,441,294,329,136,NA,1,6
"Chuvash Republic","village","not in labour",181825,181227,983,17099,428,14183,2488,991,61455,39979,21476,51546,36924,11258,971,598
"Chuvash Republic","village","labour force",3343,3331,14,426,27,285,114,25,1550,889,661,939,369,5,3,12
"Chuvash Republic","village",NA,7637,2339,13,242,5,180,57,19,700,390,310,628,525,182,30,5298
"Perm Krai","village",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Perm Krai","total",NA,2071314,1806200,19207,371920,22467,250990,98463,35034,805584,488449,317135,338804,199957,32563,3131,265114
"Perm Krai","total","indicated status",1808180,1765641,18704,366948,22227,247676,97045,34352,790380,478704,311676,328829,192062,31296,3070,42539
"Perm Krai","total","labour force",1023205,994060,12239,275572,17980,179858,77734,25448,487123,292108,195015,142112,51071,306,189,29145
"Perm Krai","total","employed",1011011,981942,12169,273336,17832,178409,77095,25184,481888,289198,192690,139467,49428,287,183,29069
"Perm Krai","total","unemployed",12194,12118,70,2236,148,1449,639,264,5235,2910,2325,2645,1643,19,6,76
"Perm Krai","total","not in labour",784975,771581,6465,91376,4247,67818,19311,8904,303257,186596,116661,186717,140991,30990,2881,13394
"Perm Krai","total","labour force",14972,14867,115,2922,204,1946,772,339,6065,3386,2679,3454,1893,70,9,105
"Perm Krai","total",NA,263134,40559,503,4972,240,3314,1418,682,15204,9745,5459,9975,7895,1267,61,222575
"Perm Krai","city",NA,1577494,1333203,16389,313899,20019,210806,83074,29555,593921,367150,226771,237804,120452,19654,1529,244291
"Perm Krai","city","indicated status",1337319,1299574,15935,309388,19794,207813,81781,28932,581078,358889,222189,229542,114514,18699,1486,37745
"Perm Krai","city","labour force",783978,757744,10636,235176,16044,153101,66031,21814,365508,223368,142140,97075,27188,213,134,26234
"Perm Krai","city","employed",776804,750627,10584,233387,15925,151939,65523,21603,362507,221683,140824,95609,26606,202,129,26177
"Perm Krai","city","unemployed",7174,7117,52,1789,119,1162,508,211,3001,1685,1316,1466,582,11,5,57
"Perm Krai","city","not in labour",553341,541830,5299,74212,3750,54712,15750,7118,215570,135521,80049,132467,87326,18486,1352,11511
"Perm Krai","city","labour force",10015,9935,95,2463,179,1644,640,275,3954,2232,1722,2240,852,52,4,80
"Perm Krai","city",NA,240175,33629,454,4511,225,2993,1293,623,12843,8261,4582,8262,5938,955,43,206546
"Perm Krai","village",NA,493820,472997,2818,58021,2448,40184,15389,5479,211663,121299,90364,101000,79505,12909,1602,20823
"Perm Krai","village","indicated status",470861,466067,2769,57560,2433,39863,15264,5420,209302,119815,89487,99287,77548,12597,1584,4794
"Perm Krai","village","labour force",239227,236316,1603,40396,1936,26757,11703,3634,121615,68740,52875,45037,23883,93,55,2911
"Perm Krai","village","employed",234207,231315,1585,39949,1907,26470,11572,3581,119381,67515,51866,43858,22822,85,54,2892
"Perm Krai","village","unemployed",5020,5001,18,447,29,287,131,53,2234,1225,1009,1179,1061,8,1,19
"Perm Krai","village","not in labour",231634,229751,1166,17164,497,13106,3561,1786,87687,51075,36612,54250,53665,12504,1529,1883
"Perm Krai","village","labour force",4957,4932,20,459,25,302,132,64,2111,1154,957,1214,1041,18,5,25
"Perm Krai","village",NA,22959,6930,49,461,15,321,125,59,2361,1484,877,1713,1957,312,18,16029
"Kirov Oblast","village",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kirov Oblast","total",NA,960059,852634,8668,181601,9617,138971,33013,9754,374886,246287,128599,162938,88001,24888,1898,107425
"Kirov Oblast","total","indicated status",851746,838910,8502,179463,9533,137284,32646,9587,369556,242340,127216,159797,85930,24195,1880,12836
"Kirov Oblast","total","labour force",452858,444284,5267,129387,7832,95522,26033,6533,210461,135700,74761,67874,23015,1648,99,8574
"Kirov Oblast","total","employed",446637,438085,5231,128368,7758,94805,25805,6430,207707,134093,73614,66436,22225,1592,96,8552
"Kirov Oblast","total","unemployed",6221,6199,36,1019,74,717,228,103,2754,1607,1147,1438,790,56,3,22
"Kirov Oblast","total","not in labour",398888,394626,3235,50076,1701,41762,6613,3054,159095,106640,52455,91923,62915,22547,1781,4262
"Kirov Oblast","total","labour force",7606,7557,73,1281,69,978,234,140,2990,1816,1174,1914,1014,134,11,49
"Kirov Oblast","total",NA,108313,13724,166,2138,84,1687,367,167,5330,3947,1383,3141,2071,693,18,94589
"Kirov Oblast","city",NA,741437,639176,7439,156406,8766,118886,28754,8163,277492,187211,90281,118040,55661,15036,939,102261
"Kirov Oblast","city","indicated status",638535,626594,7286,154409,8688,117310,28411,8003,272583,183561,89022,115138,53815,14431,929,11941
"Kirov Oblast","city","labour force",354197,346135,4665,113454,7161,83459,22834,5574,159869,105970,53899,48645,13076,796,56,8062
"Kirov Oblast","city","employed",350124,342082,4633,112563,7093,82830,22640,5485,158078,104878,53200,47814,12679,775,55,8042
"Kirov Oblast","city","unemployed",4073,4053,32,891,68,629,194,89,1791,1092,699,831,397,21,1,20
"Kirov Oblast","city","not in labour",284338,280459,2621,40955,1527,33851,5577,2429,112714,77591,35123,66493,40739,13635,873,3879
"Kirov Oblast","city","labour force",5110,5071,52,1062,61,796,205,110,1959,1211,748,1264,558,59,7,39
"Kirov Oblast","city",NA,102902,12582,153,1997,78,1576,343,160,4909,3650,1259,2902,1846,605,10,90320
"Kirov Oblast","village",NA,218622,213458,1229,25195,851,20085,4259,1591,97394,59076,38318,44898,32340,9852,959,5164
"Kirov Oblast","village","indicated status",213211,212316,1216,25054,845,19974,4235,1584,96973,58779,38194,44659,32115,9764,951,895
"Kirov Oblast","village","labour force",98661,98149,602,15933,671,12063,3199,959,50592,29730,20862,19229,9939,852,43,512
"Kirov Oblast","village","employed",96513,96003,598,15805,665,11975,3165,945,49629,29215,20414,18622,9546,817,41,510
"Kirov Oblast","village","unemployed",2148,2146,4,128,6,88,34,14,963,515,448,607,393,35,2,2
"Kirov Oblast","village","not in labour",114550,114167,614,9121,174,7911,1036,625,46381,29049,17332,25430,22176,8912,908,383
"Kirov Oblast","village","labour force",2496,2486,21,219,8,182,29,30,1031,605,426,650,456,75,4,10
"Kirov Oblast","village",NA,5411,1142,13,141,6,111,24,7,421,297,124,239,225,88,8,4269
"Nizhny Novgorod Oblast","village",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nizhny Novgorod Oblast","total",NA,2650541,2116618,29015,545171,39229,375331,130611,39571,862350,559010,303340,411285,189933,36229,3064,533923
"Nizhny Novgorod Oblast","total","indicated status",2114367,2069828,28305,536788,38805,369526,128457,38807,845674,547432,298242,399522,182585,35141,3006,44539
"Nizhny Novgorod Oblast","total","labour force",1242682,1213351,19500,413151,32157,277831,103163,29455,531087,337889,193198,171510,47956,450,242,29331
"Nizhny Novgorod Oblast","total","employed",1234683,1205401,19413,410749,31954,276253,102542,29262,528010,336030,191980,169901,47399,428,239,29282
"Nizhny Novgorod Oblast","total","unemployed",7999,7950,87,2402,203,1578,621,193,3077,1859,1218,1609,557,22,3,49
"Nizhny Novgorod Oblast","total","not in labour",871685,856477,8805,123637,6648,91695,25294,9352,314587,209543,105044,228012,134629,34691,2764,15208
"Nizhny Novgorod Oblast","total","labour force",10701,10625,128,3128,315,2026,787,261,3645,2171,1474,2520,906,31,6,76
"Nizhny Novgorod Oblast","total",NA,536174,46790,710,8383,424,5805,2154,764,16676,11578,5098,11763,7348,1088,58,489384
"Nizhny Novgorod Oblast","city",NA,2126428,1620191,24679,466362,35436,320271,110655,33345,651056,427246,223810,297856,125749,19454,1690,506237
"Nizhny Novgorod Oblast","city","indicated status",1620227,1579163,24035,458733,35055,315002,108676,32656,636324,416980,219344,287775,119384,18613,1643,41064
"Nizhny Novgorod Oblast","city","labour force",977075,949827,16666,355081,29080,238454,87547,25076,400227,257453,142774,121924,30460,248,145,27248
"Nizhny Novgorod Oblast","city","employed",970952,943747,16587,352967,28896,237054,87017,24910,398011,256094,141917,120777,30119,232,144,27205
"Nizhny Novgorod Oblast","city","unemployed",6123,6080,79,2114,184,1400,530,166,2216,1359,857,1147,341,16,1,43
"Nizhny Novgorod Oblast","city","not in labour",643152,629336,7369,103652,5975,76548,21129,7580,236097,159527,76570,165851,88924,18365,1498,13816
"Nizhny Novgorod Oblast","city","labour force",8328,8262,113,2747,284,1770,693,226,2665,1614,1051,1905,583,20,3,66
"Nizhny Novgorod Oblast","city",NA,506201,41028,644,7629,381,5269,1979,689,14732,10266,4466,10081,6365,841,47,465173
"Nizhny Novgorod Oblast","village",NA,524113,496427,4336,78809,3793,55060,19956,6226,211294,131764,79530,113429,64184,16775,1374,27686
"Nizhny Novgorod Oblast","village","indicated status",494140,490665,4270,78055,3750,54524,19781,6151,209350,130452,78898,111747,63201,16528,1363,3475
"Nizhny Novgorod Oblast","village","labour force",265607,263524,2834,58070,3077,39377,15616,4379,130860,80436,50424,49586,17496,202,97,2083
"Nizhny Novgorod Oblast","village","employed",263731,261654,2826,57782,3058,39199,15525,4352,129999,79936,50063,49124,17280,196,95,2077
"Nizhny Novgorod Oblast","village","unemployed",1876,1870,8,288,19,178,91,27,861,500,361,462,216,6,2,6
"Nizhny Novgorod Oblast","village","not in labour",228533,227141,1436,19985,673,15147,4165,1772,78490,50016,28474,62161,45705,16326,1266,1392
"Nizhny Novgorod Oblast","village","labour force",2373,2363,15,381,31,256,94,35,980,557,423,615,323,11,3,10
"Nizhny Novgorod Oblast","village",NA,29973,5762,66,754,43,536,175,75,1944,1312,632,1682,983,247,11,24211
"Orenburg Oblast","village",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orenburg Oblast","total",NA,1523296,1410794,17403,298009,14833,214871,68305,23305,643054,454207,188847,256611,138288,31040,3084,112502
"Orenburg Oblast","total","indicated status",1416386,1391322,17162,294809,14695,212545,67569,23013,635527,448467,187060,252279,135335,30153,3044,25064
"Orenburg Oblast","total","labour force",771173,753701,11473,218291,11988,153504,52799,16303,371914,259821,112093,99445,34828,1192,255,17472
"Orenburg Oblast","total","employed",760701,743318,11400,216308,11888,152164,52256,16120,367251,256790,110461,97105,33740,1155,239,17383
"Orenburg Oblast","total","unemployed",10472,10383,73,1983,100,1340,543,183,4663,3031,1632,2340,1088,37,16,89
"Orenburg Oblast","total","not in labour",645213,637621,5689,76518,2707,59041,14770,6710,263613,188646,74967,152834,100507,28961,2789,7592
"Orenburg Oblast","total","labour force",12226,12141,113,2357,154,1594,609,234,5226,3346,1880,2781,1312,109,9,85
"Orenburg Oblast","total",NA,106910,19472,241,3200,138,2326,736,292,7527,5740,1787,4332,2953,887,40,87438
"Orenburg Oblast","city",NA,917690,816354,12117,207054,11136,148147,47771,16277,382857,275198,107659,124852,58757,13369,1071,101336
